,number of times in sample,structure
0,4404805,[]
1,2330041,[_[]_]
2,615303,[_[]]
3,607778,[[]_]
4,523625,[][]
5,171644,[_[_[]_]_]
6,74141,[_[_[]_]]
7,74121,[_[[]_]_]
8,73890,[_[_[]]_]
9,72775,[[_[]_]_]
10,32769,[_[_[]]]
11,32189,[[[]_]_]
12,24502,[_[[]_]]
13,24091,[[_[]]_]
14,12838,[][_[]_]
15,12076,[_[]_][]
16,7007,[_[]][]
17,6922,[][_[]]
18,6862,[][[]_]
19,6813,[[]_][]
20,975,[_[_[_[]_]_]_]
21,834,[_[[_[]_]_]_]
22,826,[_[_[_[]_]]_]
23,745,[_[_[[]_]_]_]
24,718,[_[_[_[]]_]_]
25,675,[_[_[_[]_]_]]
26,672,[[_[_[]_]_]_]
27,579,[_[_[_[]]]_]
28,567,[_[[[]_]_]_]
29,543,[_[_[_[]_]]]
30,501,[[[_[]_]_]_]
31,450,[_[_[_[]]_]]
32,443,[_[_[[]_]_]]
33,428,[[_[_[]]_]_]
34,425,[[_[[]_]_]_]
35,424,[_[[_[]_]_]]
36,412,[_[_[[]_]]_]
37,409,[[_[_[]_]]_]
38,392,[_[[_[]]_]_]
39,361,[_[_[_[]]]]
40,328,[[[[]_]_]_]
41,280,[[_[_[]]]_]
42,279,[_[[[]_]_]]
43,258,[_[_[[]_]]]
44,220,[[[_[]]_]_]
45,206,[[][]]
46,200,[_[[_[]]_]]
47,174,[[_[[]_]]_]
48,20,[][][]
49,17,[_[]_][_[]]
50,16,[][_[_[]_]_]
51,16,[_[]_][_[]_]
52,16,[_[]][_[]_]
53,16,[_[]][_[]]
54,12,[[]_][_[]]
55,9,[][_[_[]]_]
56,9,[[]_][_[]_]
57,8,[_[[]_]_][]
58,8,[][_[_[]_]]
59,7,[_[]_][[]_]
60,7,[][[[]_]_]
61,7,[][_[[]_]_]
62,7,[[[]_]_][]
63,6,[_[]][[]_]
64,6,[][_[[]_]]
65,6,[_[_[]]][]
66,6,[[_[]]_][]
67,6,[_[_[]]_][]
68,6,[][_[_[]]]
69,5,[_[_[]_]_][]
70,5,[[_[]_]_][]
71,4,[][[_[]]_]
72,4,[][[_[]_]_]
73,4,[_[[]_]][]
74,4,[[]_][[]_]
75,3,[_[_[]_]][]
76,1,[[_[_[_[]_]]]_]
77,1,[_[[_[[]_]_]_]]
78,1,[_[_[_[[]_]_]]]
79,1,[_[[[_[]_]_]_]]
80,1,[_[_[_[[]_]]]]
81,1,[[_[_[_[]]]]_]
82,1,[_[_[[[]_]_]]_]
